Posting Date,Entry Type,Document Type,Order No.,Document No.,Item No.,Description,UoM,Lot No.,Expiration Date,Location Code,Quantity,Invoiced Quantity,Remaining Quantity,Sales Amount (Actual),Unit Cost,Cost Amount (Actual),Cost Amount (Non-Invtbl.),Open,Order Type,Entry No.
12/29/2021,Purchase,Purchase Receipt,,G06859,EE008700,"Calamine lotion aqueous,15%,500ml,Each",EACH,2111194,12/31/2024,NPW,2088,2088,0,0," 1,897.50 "," 3,961,980.00 ",0,FALSE,,376367
12/29/2021,Purchase,Purchase Receipt,,G06859,EE008400,"Calamine lotion 15%+ sulphur 2%,500ml,Each",EACH,2010172,11/30/2023,NPW,1188,1188,0,0," 1,897.50 "," 2,254,230.00 ",0,FALSE,,376366
12/29/2021,Purchase,Purchase Receipt,,G06859,EE004800,"Benzyl benzoate application,25%,500ml,Each",EACH,2111191,11/30/2024,NPW,1656,1656,0,0," 1,732.50 "," 2,869,020.00 ",0,FALSE,,376365
12/29/2021,Purchase,Purchase Receipt,,G06859,EE004800,"Benzyl benzoate application,25%,500ml,Each",EACH,2111200,11/30/2024,NPW,82,82,0,0," 1,732.50 "," 142,065.00 ",0,FALSE,,376364
12/29/2021,Purchase,Purchase Receipt,,G06859,EE004800,"Benzyl benzoate application,25%,500ml,Each",EACH,2111192,11/30/2024,NPW,1548,1548,0,0," 1,732.50 "," 2,681,910.00 ",0,FALSE,,376363
12/29/2021,Purchase,Purchase Receipt,,G06859,EE004800,"Benzyl benzoate application,25%,500ml,Each",EACH,2111189,11/30/2024,NPW,1548,1548,0,0," 1,732.50 "," 2,681,910.00 ",0,FALSE,,376362
12/29/2021,Purchase,Purchase Receipt,,G06859,EE004800,"Benzyl benzoate application,25%,500ml,Each",EACH,2111187,11/30/2024,NPW,1476,1476,0,0," 1,732.50 "," 2,557,170.00 ",0,FALSE,,376361
12/29/2021,Purchase,Purchase Receipt,,G06858,EE035100,"Paraffin liquid,500ml,Each",EACH,2111221,11/30/2024,NPW,2232,2232,0,0," 2,475.00 "," 5,524,200.00 ",0,FALSE,,376309
12/29/2021,Purchase,Purchase Receipt,,G06858,EE021300,"Gentian violet paint aqueous,1%,500ml,Each",EACH,2111204,11/30/2024,NPW,1988,1988,0,0," 1,031.25 "," 2,050,125.00 ",0,FALSE,,376308
12/29/2021,Purchase,Purchase Receipt,,G06858,EE008700,"Calamine lotion aqueous,15%,500ml,Each",EACH,2111213,12/31/2024,NPW,1980,1980,0,0," 1,897.50 "," 3,757,050.00 ",0,FALSE,,376307
12/29/2021,Purchase,Purchase Receipt,,G06858,EE008700,"Calamine lotion aqueous,15%,500ml,Each",EACH,2111214,12/31/2024,NPW,2052,2052,0,0," 1,897.50 "," 3,893,670.00 ",0,FALSE,,376306
12/29/2021,Purchase,Purchase Receipt,,G06858,EE008700,"Calamine lotion aqueous,15%,500ml,Each",EACH,2111215,12/31/2024,NPW,2088,2088,0,0," 1,897.50 "," 3,961,980.00 ",0,FALSE,,376305
12/29/2021,Purchase,Purchase Receipt,,G06858,EE008700,"Calamine lotion aqueous,15%,500ml,Each",EACH,2111211,12/31/2024,NPW,2160,2160,0,0," 1,897.50 "," 4,098,600.00 ",0,FALSE,,376304
12/29/2021,Purchase,Purchase Receipt,,G06858,EE008700,"Calamine lotion aqueous,15%,500ml,Each",EACH,2111206,12/31/2024,NPW,2088,2088,0,0," 1,897.50 "," 3,961,980.00 ",0,FALSE,,376303
12/29/2021,Purchase,Purchase Receipt,,G06858,EE008700,"Calamine lotion aqueous,15%,500ml,Each",EACH,2111207,12/31/2024,NPW,2058,2058,0,0," 1,897.50 "," 3,905,055.00 ",0,FALSE,,376302
12/29/2021,Purchase,Purchase Receipt,,G06858,EE008400,"Calamine lotion 15%+ sulphur 2%,500ml,Each",EACH,2111216,11/30/2024,NPW,2114,2114,0,0," 1,897.50 "," 4,011,315.00 ",0,FALSE,,376301
12/29/2021,Purchase,Purchase Receipt,,G06858,EE008400,"Calamine lotion 15%+ sulphur 2%,500ml,Each",EACH,2111217,11/30/2024,NPW,1971,1971,0,0," 1,897.50 "," 3,739,972.50 ",0,FALSE,,376300
12/29/2021,Purchase,Purchase Receipt,,G06858,EE004800,"Benzyl benzoate application,25%,500ml,Each",EACH,2111190,11/30/2024,NPW,376,376,0,0," 1,732.50 "," 651,420.00 ",0,FALSE,,376299
12/23/2021,Purchase,Purchase Receipt,,G06857,EE051600,"Zinc oxide, 15%,ointment (in EO base),500g,Each",EACH,2107124,7/31/2024,NPW,120,120,0,0," 3,052.50 "," 366,300.00 ",0,FALSE,,376266
12/23/2021,Purchase,Purchase Receipt,,G06857,EE021300,"Gentian violet paint aqueous,1%,500ml,Each",EACH,2112256,12/31/2024,NPW,486,486,0,0," 1,031.25 "," 501,187.50 ",0,FALSE,,376265
12/23/2021,Purchase,Purchase Receipt,,G06857,EE021300,"Gentian violet paint aqueous,1%,500ml,Each",EACH,2112258,12/31/2024,NPW,2016,2016,0,0," 1,031.25 "," 2,079,000.00 ",0,FALSE,,376264
12/23/2021,Purchase,Purchase Receipt,,G06857,EE021300,"Gentian violet paint aqueous,1%,500ml,Each",EACH,2112254,12/31/2024,NPW,1944,1944,0,0," 1,031.25 "," 2,004,750.00 ",0,FALSE,,376263
12/23/2021,Purchase,Purchase Receipt,,G06857,EE021300,"Gentian violet paint aqueous,1%,500ml,Each",EACH,2112255,12/31/2024,NPW,2039,2039,0,0," 1,031.25 "," 2,102,718.75 ",0,FALSE,,376262
12/23/2021,Purchase,Purchase Receipt,,G06857,EE008700,"Calamine lotion aqueous,15%,500ml,Each",EACH,2112242,12/31/2024,NPW,1311,1311,0,0," 1,897.50 "," 2,487,622.50 ",0,FALSE,,376261
12/23/2021,Purchase,Purchase Receipt,,G06857,EE008400,"Calamine lotion 15%+ sulphur 2%,500ml,Each",EACH,2112243,12/31/2024,NPW,2067,2067,0,0," 1,897.50 "," 3,922,132.50 ",0,FALSE,,376260
12/23/2021,Purchase,Purchase Receipt,,G06857,EE008400,"Calamine lotion 15%+ sulphur 2%,500ml,Each",EACH,2112244,12/31/2024,NPW,1980,1980,0,0," 1,897.50 "," 3,757,050.00 ",0,FALSE,,376259
12/23/2021,Purchase,Purchase Receipt,,G06857,EE008400,"Calamine lotion 15%+ sulphur 2%,500ml,Each",EACH,2112245,12/31/2024,NPW,780,780,0,0," 1,897.50 "," 1,480,050.00 ",0,FALSE,,376258
12/25/2021,Purchase,Purchase Receipt,,G06855,AA018600,"Cotrimoxazole,480mg,tablet,1000",1000,0240012,12/31/2026,NPW,831,831,0,0," 13,200.00 "," 10,969,200.00 ",0,FALSE,,375932
12/25/2021,Purchase,Purchase Receipt,,G06855,AA018600,"Cotrimoxazole,480mg,tablet,1000",1000,0240042,12/31/2026,NPW,860,860,0,0," 13,200.00 "," 11,352,000.00 ",0,FALSE,,375931
12/25/2021,Purchase,Purchase Receipt,,G06855,AA018600,"Cotrimoxazole,480mg,tablet,1000",1000,0240032,12/31/2026,NPW,837,837,0,0," 13,200.00 "," 11,048,400.00 ",0,FALSE,,375930
12/25/2021,Purchase,Purchase Receipt,,G06855,AA018600,"Cotrimoxazole,480mg,tablet,1000",1000,0240022,12/31/2026,NPW,851,851,0,0," 13,200.00 "," 11,233,200.00 ",0,FALSE,,375929
12/17/2021,Purchase,Purchase Receipt,,G06702,EE028500,"Methylated spirit,(70%,in,Water),5L,Each",EACH,2112253,12/31/2024,NPW,156,156,0,0," 13,000.00 "," 2,028,000.00 ",0,FALSE,,364607
12/17/2021,Purchase,Purchase Receipt,,G06702,EE028500,"Methylated spirit,(70%,in,Water),5L,Each",EACH,2112251,12/31/2024,NPW,166,166,0,0," 13,000.00 "," 2,158,000.00 ",0,FALSE,,364606
12/17/2021,Purchase,Purchase Receipt,,G06702,EE028500,"Methylated spirit,(70%,in,Water),5L,Each",EACH,2112263,12/31/2024,NPW,47,47,0,0," 13,000.00 "," 611,000.00 ",0,FALSE,,364605
12/17/2021,Purchase,Purchase Receipt,,G06702,EE028500,"Methylated spirit,(70%,in,Water),5L,Each",EACH,2112257,12/31/2024,NPW,186,186,0,0," 13,000.00 "," 2,418,000.00 ",0,FALSE,,364604
12/17/2021,Purchase,Purchase Receipt,,G06702,EE028500,"Methylated spirit,(70%,in,Water),5L,Each",EACH,2112252,12/31/2024,NPW,151,151,0,0," 13,000.00 "," 1,963,000.00 ",0,FALSE,,364603
12/17/2021,Purchase,Purchase Receipt,,G06702,EE028500,"Methylated spirit,(70%,in,Water),5L,Each",EACH,2112250,12/31/2024,NPW,168,168,0,0," 13,000.00 "," 2,184,000.00 ",0,FALSE,,364602
12/17/2021,Purchase,Purchase Receipt,,G06702,EE028500,"Methylated spirit,(70%,in,Water),5L,Each",EACH,2112259,12/31/2024,NPW,164,164,0,0," 13,000.00 "," 2,132,000.00 ",0,FALSE,,364601
12/17/2021,Purchase,Purchase Receipt,,G06702,EE028500,"Methylated spirit,(70%,in,Water),5L,Each",EACH,2112260,12/31/2024,NPW,156,156,0,0," 13,000.00 "," 2,028,000.00 ",0,FALSE,,364600
12/17/2021,Purchase,Purchase Receipt,,G06702,EE028500,"Methylated spirit,(70%,in,Water),5L,Each",EACH,2112261,12/31/2024,NPW,135,135,0,0," 13,000.00 "," 1,755,000.00 ",0,FALSE,,364599
12/17/2021,Purchase,Purchase Receipt,,G06702,EE028500,"Methylated spirit,(70%,in,Water),5L,Each",EACH,2112240,12/31/2024,NPW,166,166,0,0," 13,000.00 "," 2,158,000.00 ",0,FALSE,,364598
12/17/2021,Purchase,Purchase Receipt,,G06702,EE028500,"Methylated spirit,(70%,in,Water),5L,Each",EACH,2112241,12/31/2024,NPW,5,5,0,0," 13,000.00 "," 65,000.00 ",0,FALSE,,364597
12/17/2021,Purchase,Purchase Receipt,,G06702,EE028500,"Methylated spirit,(70%,in,Water),5L,Each",EACH,2112237,12/31/2024,NPW,4,4,0,0," 13,000.00 "," 52,000.00 ",0,FALSE,,364596
12/17/2021,Purchase,Purchase Receipt,,G06702,EE028500,"Methylated spirit,(70%,in,Water),5L,Each",EACH,2112233,12/31/2024,NPW,1,1,0,0," 13,000.00 "," 13,000.00 ",0,FALSE,,364595
12/17/2021,Purchase,Purchase Receipt,,G06702,EE028500,"Methylated spirit,(70%,in,Water),5L,Each",EACH,2112231,12/31/2024,NPW,1,1,0,0," 13,000.00 "," 13,000.00 ",0,FALSE,,364594
10/28/2021,Purchase,Purchase Receipt,,G06699,BB069300,"Sodium chloride,0.9%,1000ml,Each",EACH,2212759,6/30/2024,NPW,1200,1200,0,0," 1,042.36 "," 1,250,832.00 ",0,FALSE,,364532
12/23/2021,Purchase,Purchase Receipt,,G06585,HH102300,"Mask face disposable paper,2-ply,100",100,ZB204230,12/31/2023,NPW,6300,6300,0,0," 2,211.00 "," 13,929,300.00 ",0,FALSE,,362537
12/24/2021,Purchase,Purchase Receipt,,G06575,BB013500,"Ceftriaxone,1g,PFR,Each",EACH,IC21535010,7/31/2023,NPW,94450,94450,0,0, 247.50 ," 23,376,375.00 ",0,FALSE,,361685
12/24/2021,Purchase,Purchase Receipt,,G06575,BB013500,"Ceftriaxone,1g,PFR,Each",EACH,IC21535011,7/31/2023,NPW,11700,11700,0,0, 247.50 ," 2,895,750.00 ",0,FALSE,,361684
12/24/2021,Purchase,Purchase Receipt,,G06575,BB013500,"Ceftriaxone,1g,PFR,Each",EACH,IC21535009,7/31/2023,NPW,74700,74700,0,0, 247.50 ," 18,488,250.00 ",0,FALSE,,361683
12/24/2021,Purchase,Purchase Receipt,,G06575,BB013500,"Ceftriaxone,1g,PFR,Each",EACH,IC21535008,7/31/2023,NPW,84150,84150,0,0, 247.50 ," 20,827,125.00 ",0,FALSE,,361682
12/23/2021,Purchase,Purchase Receipt,,G06574,AA015600,"Ciprofloxacin,250mg,tablet,100",100,1020081,9/30/2024,NPW,920,920,0,0," 1,567.50 "," 1,442,100.00 ",0,FALSE,,361680
12/23/2021,Purchase,Purchase Receipt,,G06573,AA064500,"Vitamin B complex strong tablet,1000",1000,0950031,7/31/2024,NPW,710,710,0,0," 2,062.50 "," 1,464,375.00 ",0,FALSE,,361679
12/23/2021,Purchase,Purchase Receipt,,G06573,AA034800,"Ketoconazole,200mg,tablet,100",100,1220011,9/30/2024,NPW,1855,1855,0,0," 3,712.50 "," 6,886,687.50 ",0,FALSE,,361678
12/23/2021,Purchase,Purchase Receipt,,G06573,AA032400,"Ibuprofen,200mg,coated tablet,1000",1000,1010371,8/31/2024,NPW,1470,1470,0,0," 7,590.00 "," 11,157,300.00 ",0,FALSE,,361677
12/23/2021,Purchase,Purchase Receipt,,G06573,AA018600,"Cotrimoxazole,480mg,tablet,1000",1000,0240260,7/31/2024,NPW,829,829,0,0," 13,200.00 "," 10,942,800.00 ",0,FALSE,,361676
12/23/2021,Purchase,Purchase Receipt,,G06573,AA018600,"Cotrimoxazole,480mg,tablet,1000",1000,0240240,6/30/2025,NPW,842,842,0,0," 13,200.00 "," 11,114,400.00 ",0,FALSE,,361675
12/23/2021,Purchase,Purchase Receipt,,G06573,AA018600,"Cotrimoxazole,480mg,tablet,1000",1000,0240250,6/30/2025,NPW,812,812,0,0," 13,200.00 "," 10,718,400.00 ",0,FALSE,,361674
12/23/2021,Purchase,Purchase Receipt,,G06573,AA018600,"Cotrimoxazole,480mg,tablet,1000",1000,0240230,6/30/2025,NPW,866,866,0,0," 13,200.00 "," 11,431,200.00 ",0,FALSE,,361673
12/23/2021,Purchase,Purchase Receipt,,G06573,AA018600,"Cotrimoxazole,480mg,tablet,1000",1000,0240220,7/31/2024,NPW,817,817,0,0," 13,200.00 "," 10,784,400.00 ",0,FALSE,,361672
12/23/2021,Purchase,Purchase Receipt,,G06573,AA018600,"Cotrimoxazole,480mg,tablet,1000",1000,0240150,7/31/2024,NPW,832,832,0,0," 13,200.00 "," 10,982,400.00 ",0,FALSE,,361671
12/23/2021,Purchase,Purchase Receipt,,G06573,AA018600,"Cotrimoxazole,480mg,tablet,1000",1000,0240140,6/30/2025,NPW,878,878,0,0," 13,200.00 "," 11,589,600.00 ",0,FALSE,,361670
12/23/2021,Purchase,Purchase Receipt,,G06573,AA018600,"Cotrimoxazole,480mg,tablet,1000",1000,0240100,6/30/2025,NPW,8,8,0,0," 13,200.00 "," 105,600.00 ",0,FALSE,,361669
12/23/2021,Purchase,Purchase Receipt,,G06573,AA018600,"Cotrimoxazole,480mg,tablet,1000",1000,0240130,6/30/2025,NPW,312,312,0,0," 13,200.00 "," 4,118,400.00 ",0,FALSE,,361668
12/23/2021,Purchase,Purchase Receipt,,G06573,AA008700,"Azithromycin,500mg,capsule,3",3,1160031,7/31/2024,NPW,3600,3600,0,0, 990.00 ," 3,564,000.00 ",0,FALSE,,361667
12/23/2021,Purchase,Purchase Receipt,,G06572,EE028500,"Methylated spirit,(70%,in,Water),5L,Each",EACH,0720181,8/31/2026,NPW,113,113,0,0," 7,425.00 "," 839,025.00 ",0,FALSE,,361663
12/23/2021,Purchase,Purchase Receipt,,G06572,AA064500,"Vitamin B complex strong tablet,1000",1000,0950011,3/31/2024,NPW,324,324,0,0," 2,062.50 "," 668,250.00 ",0,FALSE,,361662
12/23/2021,Purchase,Purchase Receipt,,G06572,AA064500,"Vitamin B complex strong tablet,1000",1000,0950031,7/31/2024,NPW,540,540,0,0," 2,062.50 "," 1,113,750.00 ",0,FALSE,,361661
12/23/2021,Purchase,Purchase Receipt,,G06572,AA032400,"Ibuprofen,200mg,coated tablet,1000",1000,1010361,7/31/2024,NPW,116,116,0,0," 7,590.00 "," 880,440.00 ",0,FALSE,,361660
12/23/2021,Purchase,Purchase Receipt,,G06572,AA018600,"Cotrimoxazole,480mg,tablet,1000",1000,0240130,6/30/2025,NPW,57,57,0,0," 13,200.00 "," 752,400.00 ",0,FALSE,,361659
12/23/2021,Purchase,Purchase Receipt,,G06572,AA014100,"Chlorpheniramine maleate,4mg,tablet,1000",1000,1170011,7/31/2024,NPW,1562,1562,0,0," 1,402.50 "," 2,190,705.00 ",0,FALSE,,361658
9/14/2021,Purchase,Purchase Receipt,,G06542,HH141600,"Stethoscope binaural,Each",EACH,NA,12/31/2099,NPW,5,5,0,0," 2,216.70 "," 11,083.50 ",0,FALSE,,358826
12/20/2021,Purchase,Purchase Receipt,,G06537,PP046500,"Lignocaine,2%,Adrenaline,1/80,000,cartridge,1.8m",50,3789R17,6/30/2022,NPW,4000,4000,0,0," 18,250.00 "," 73,000,000.00 ",0,FALSE,,358416
12/20/2021,Purchase,Purchase Receipt,,G06536,HH147300,"Syringe,2ml,disposable hypoluer with,25g,needle,Ea",EACH,190430,4/30/2024,NPW,104460,104460,0,0, 109.31 ," 11,418,783.75 ",0,FALSE,,358124
12/20/2021,Purchase,Purchase Receipt,,G06536,HH147300,"Syringe,2ml,disposable hypoluer with,25g,needle,Ea",EACH,190810,8/31/2024,NPW,208800,208800,0,0, 109.31 ," 22,824,450.00 ",0,FALSE,,358123
12/20/2021,Purchase,Purchase Receipt,,G06536,FF007800,"Cotton wool,500g,EACH",EACH,20200615,6/30/2025,NPW,2040,2040,0,0," 2,557.50 "," 5,217,300.00 ",0,FALSE,,358122
12/20/2021,Purchase,Purchase Receipt,,G06536,FF007800,"Cotton wool,500g,EACH",EACH,20200605,6/30/2025,NPW,4860,4860,0,0," 2,557.50 "," 12,429,450.00 ",0,FALSE,,358121
12/20/2021,Purchase,Purchase Receipt,,G06536,HH150900,"Syringe Luer, 10ml, disposable, hypoluer",EACH,200425,4/30/2025,NPW,320400,320400,0,0, 210.38 ," 67,404,150.00 ",0,FALSE,,358120
12/20/2021,Purchase,Purchase Receipt,,G06536,HH150900,"Syringe Luer, 10ml, disposable, hypoluer",EACH,191220,12/31/2024,NPW,101600,101600,0,0, 210.38 ," 21,374,100.00 ",0,FALSE,,358119
12/20/2021,Purchase,Purchase Receipt,,G06536,HH150900,"Syringe Luer, 10ml, disposable, hypoluer",EACH,190810,8/31/2024,NPW,28800,28800,0,0, 210.38 ," 6,058,800.00 ",0,FALSE,,358118
12/20/2021,Purchase,Purchase Receipt,,G06536,HH147900,"Syringe, 5ml, disposable, hypoluer with 21g",EACH,190810,8/31/2024,NPW,199090,199090,0,0, 141.49 ," 28,168,748.00 ",0,FALSE,,358117
12/20/2021,Purchase,Purchase Receipt,,G06536,LL009900,"Apron disposable polythene,100",100,NA,12/31/2099,NPW,4000,4000,0,0," 7,012.50 "," 28,050,000.00 ",0,FALSE,,358116
12/17/2021,Purchase,Purchase Receipt,,G06535,HH147300,"Syringe,2ml,disposable hypoluer with,25g,needle,Ea",EACH,190810,8/31/2024,NPW,151200,151200,0,0, 109.31 ," 16,528,050.00 ",0,FALSE,,358095
12/17/2021,Purchase,Purchase Receipt,,G06535,FF007800,"Cotton wool,500g,EACH",EACH,20200605,6/30/2025,NPW,3000,3000,0,0," 2,557.50 "," 7,672,500.00 ",0,FALSE,,358094
12/17/2021,Purchase,Purchase Receipt,,G06535,HH150900,"Syringe Luer, 10ml, disposable, hypoluer",EACH,190810,8/31/2024,NPW,250800,250800,0,0, 210.38 ," 52,762,050.00 ",0,FALSE,,358093
12/17/2021,Purchase,Purchase Receipt,,G06535,HH147900,"Syringe, 5ml, disposable, hypoluer with 21g",EACH,190810,8/31/2024,NPW,120600,120600,0,0, 141.49 ," 17,063,395.00 ",0,FALSE,,358092
12/17/2021,Purchase,Purchase Receipt,,G06535,LL009900,"Apron disposable polythene,100",100,NA,12/31/2099,NPW,2000,2000,0,0," 7,012.50 "," 14,025,000.00 ",0,FALSE,,358091
12/20/2021,Purchase,Purchase Receipt,,G06534,EE051600,"Zinc oxide, 15%,ointment (in EO base),500g,Each",EACH,2107125,7/31/2024,NPW,1920,1920,0,0," 3,052.50 "," 5,860,800.00 ",0,FALSE,,357921
12/20/2021,Purchase,Purchase Receipt,,G06534,EE051600,"Zinc oxide, 15%,ointment (in EO base),500g,Each",EACH,2107124,7/31/2024,NPW,1860,1860,0,0," 3,052.50 "," 5,677,650.00 ",0,FALSE,,357920
12/20/2021,Purchase,Purchase Receipt,,G06533,EE051900,"Zinc oxide, 15%+sulphur,5%,ointment,500g,Each",EACH,2107119,7/31/2024,NPW,130,130,0,0," 2,310.00 "," 300,300.00 ",0,FALSE,,357919
12/20/2021,Purchase,Purchase Receipt,,G06533,EE051600,"Zinc oxide, 15%,ointment (in EO base),500g,Each",EACH,2107122,7/31/2024,NPW,2020,2020,0,0," 3,052.50 "," 6,166,050.00 ",0,FALSE,,357918
12/7/2021,Purchase,Purchase Receipt,,G06532,MM097800,"Citrate phosphate dextrose adenine Blood Bag,250ml",EACH,20210103,1/31/2023,NPW,2674,2674,0,0," 3,610.00 "," 9,653,140.00 ",0,FALSE,,357917
12/7/2021,Purchase,Purchase Receipt,,G06532,MM097500,"Citrate phosphate dextrose adenine Blood Bag,450ml",EACH,20200915,9/30/2022,NPW,445,445,0,0," 3,610.00 "," 1,606,450.00 ",0,FALSE,,357916
12/7/2021,Purchase,Purchase Receipt,,G06532,MM097500,"Citrate phosphate dextrose adenine Blood Bag,450ml",EACH,H0421009013,1/31/2024,NPW,1160,1160,0,0," 3,610.00 "," 4,187,600.00 ",0,FALSE,,357915
12/17/2021,Purchase,Purchase Receipt,,G06530,AA008100,"Atenolol,50mg,tablet,100",100,T1391,6/30/2024,NPW,1860,0,0,0, -   , -   ,0,FALSE,,357441
12/17/2021,Purchase,Purchase Receipt,,G06529,AA008100,"Atenolol,50mg,tablet,100",100,T1391,6/30/2024,NPW,920,20,0,0, 8.43 ," 7,755.00 ",0,FALSE,,357440
12/17/2021,Purchase,Purchase Receipt,,G06528,AA008100,"Atenolol,50mg,tablet,100",100,T1391,6/30/2024,NPW,2000,2000,0,0, 387.75 ," 775,500.00 ",0,FALSE,,357437
12/17/2021,Purchase,Purchase Receipt,,G06527,AA008100,"Atenolol,50mg,tablet,100",100,T1391,6/30/2024,NPW,8000,8000,0,0, 412.57 ," 3,300,574.43 ",0,FALSE,,357436
12/17/2021,Purchase,Purchase Receipt,,G06525,BB009900,"Bupivacaine spinal hyperbaric 0.5%, 4ml ampou",EACH,B44536,5/31/2023,NPW,150,150,0,0, 346.50 ," 51,975.00 ",0,FALSE,,357435
12/17/2021,Purchase,Purchase Receipt,,G06525,AA043800,"Metoclopromide,10mg,tablet,100",100,AC29101,10/31/2023,NPW,300,300,0,0, 684.75 ," 205,425.00 ",0,FALSE,,357434
12/17/2021,Purchase,Purchase Receipt,,G06525,AA036600,"Lisinopril,10mg,,tablet,28",28,PV02001,11/30/2023,NPW,1000,1000,0,0, 305.25 ," 305,250.00 ",0,FALSE,,357433
12/17/2021,Purchase,Purchase Receipt,,G06525,AA003900,"Amlodipine,5mg,tablet,100",100,AC29101,12/31/2023,NPW,100,100,0,0, 264.00 ," 26,400.00 ",0,FALSE,,357432
12/17/2021,Purchase,Purchase Receipt,,G06524,EE045600,"Silver sulphadiazine cream,1%,50g,Each",EACH,02201,8/31/2024,NPW,11800,11800,0,0, 453.75 ," 5,354,250.00 ",0,FALSE,,357431
12/17/2021,Purchase,Purchase Receipt,,G06524,EE023400,"Hydrocortisone skin ointment,1%,15g,Each",EACH,01601,7/31/2023,NPW,21000,21000,0,0, 206.25 ," 4,331,250.00 ",0,FALSE,,357430
12/17/2021,Purchase,Purchase Receipt,,G06523,EE047400,"Sunscreen SPF 70,Each",EACH,KT2102023,10/31/2023,NPW,998,998,0,0," 7,012.50 "," 6,998,475.00 ",0,FALSE,,357411
12/17/2021,Purchase,Purchase Receipt,,G06521,MM134450,"Glucose in urine (Clinistix),50",50,U1G.096,11/30/2023,NPW,50,50,0,0," 4,340.00 "," 217,000.00 ",0,FALSE,,356684
12/17/2021,Purchase,Purchase Receipt,,G06521,MM174001,"Multistix,10 Parameters Glucose, Bilirubin",100,U10096,11/30/2023,NPW,2000,2000,0,0," 7,900.00 "," 15,800,000.00 ",0,FALSE,,356683
12/17/2021,Purchase,Purchase Receipt,,G06521,PP053400,"Needle disposable dental,27g,long sharewood,100",100,210516,4/30/2026,NPW,908,908,0,0," 9,273.92 "," 8,420,719.36 ",0,FALSE,,356682
12/16/2021,Purchase,Purchase Receipt,,G06477,AA015600,"Ciprofloxacin,250mg,tablet,100",100,1020071,9/30/2024,NPW,5200,5200,0,0," 1,567.50 "," 8,151,000.00 ",0,FALSE,,355283
12/16/2021,Purchase,Purchase Receipt,,G06477,AA015600,"Ciprofloxacin,250mg,tablet,100",100,1020081,9/30/2024,NPW,4850,4850,0,0," 1,567.50 "," 7,602,375.00 ",0,FALSE,,355282
12/14/2021,Purchase,Purchase Receipt,,G06465,HH102300,"Mask face disposable paper,2-ply,100",100,ZB204230,12/31/2023,NPW,14800,14800,0,0," 2,211.00 "," 32,722,800.00 ",0,FALSE,,353106
12/14/2021,Purchase,Purchase Receipt,,G06461,AA049500,"Paracetamol,500mg,tablet,1000",1000,2104118,11/30/2024,NPW,972,972,0,0," 9,075.00 "," 8,820,900.00 ",0,FALSE,,352307
12/14/2021,Purchase,Purchase Receipt,,G06461,AA049500,"Paracetamol,500mg,tablet,1000",1000,2104117,11/30/2024,NPW,990,990,0,0," 9,075.00 "," 8,984,250.00 ",0,FALSE,,352306
