Code,Item Description,Code and Description,UOM,Quantity Requested,Unit Price,Total Cost,Facility Level,Region,Requesting Facility,Month
AA015600,"Ciprofloxacin 250mg, tablets","AA015600 Ciprofloxacin 250mg, tablets",100,50,3096.28049,154814.0245,District Hospital,North,Chitipa DHO,January-23
AA002700,"Aminophylline 100mg, tablets","AA002700 Aminophylline 100mg, tablets",1000,20,5235.37071,104707.4142,District Hospital,North,Chitipa DHO,January-23
AA018600,"Cotrimoxazole 480mg, tablets","AA018600 Cotrimoxazole 480mg, tablets",1000,20,20713.4751,414269.502,District Hospital,North,Chitipa DHO,January-23
AA021000,"Diclofenac sodium, 50mg , tablets","AA021000 Diclofenac sodium, 50mg , tablets",100,500,943.78296,471891.48,District Hospital,North,Chitipa DHO,January-23
AA022500,"Doxycycline 100mg, tablets","AA022500 Doxycycline 100mg, tablets",1000,10,30320.09444,303200.9444,District Hospital,North,Chitipa DHO,January-23
AA040800,"Magnesium trisilicate compound 250mg, tablets","AA040800 Magnesium trisilicate compound 250mg, tablets",1000,30,6288.25921,188647.7763,District Hospital,North,Chitipa DHO,January-23
AA045300,"Morphine sulphate 10mg (slow release), tablets","AA045300 Morphine sulphate 10mg (slow release), tablets",60,20,8076.17754,161523.5508,District Hospital,North,Chitipa DHO,January-23
AA046500,"Nifedipine 10mg, tablets","AA046500 Nifedipine 10mg, tablets",100,100,1865.85366,186585.366,District Hospital,North,Chitipa DHO,January-23
AA007500,"Aspirin 75mg, tablets","AA007500 Aspirin 75mg, tablets",1000,30,2609.05704,78271.7112,District Hospital,North,Chitipa DHO,January-23
AA057900,"Spironolactone 25mg, tablets","AA057900 Spironolactone 25mg, tablets",100,50,3800.95122,190047.561,District Hospital,North,Chitipa DHO,January-23
AA051300,"Praziquantel 600mg, tablets","AA051300 Praziquantel 600mg, tablets",100,5,15199.60763,75998.03815,District Hospital,North,Chitipa DHO,January-23
AA052200,"Prednisolone 25mg, tablets","AA052200 Prednisolone 25mg, tablets",1000,30,0,0,District Hospital,North,Chitipa DHO,January-23
AA056700,"Salbutamol 4mg, tablets","AA056700 Salbutamol 4mg, tablets",1000,10,3224.31098,32243.1098,District Hospital,North,Chitipa DHO,January-23
AA007200,"Aspirin 300mg, tablets","AA007200 Aspirin 300mg, tablets",1000,30,8310.45526,249313.6578,District Hospital,North,Chitipa DHO,January-23
AA032400,"Ibuprofen 200mg, coated tablets","AA032400 Ibuprofen 200mg, coated tablets",1000,60,12278.35366,736701.2196,District Hospital,North,Chitipa DHO,January-23
AA033900,"Indomethacin 25mg, tablets","AA033900 Indomethacin 25mg, tablets",1000,30,4988.08605,149642.5815,District Hospital,North,Chitipa DHO,January-23
AA049500,"Paracetamol 500mg, tablets","AA049500 Paracetamol 500mg, tablets",1000,50,10963.16891,548158.4455,District Hospital,North,Chitipa DHO,January-23
AA050100,"Phenobarbitone 30mg, tablets","AA050100 Phenobarbitone 30mg, tablets",1000,10,5571.23668,55712.3668,District Hospital,North,Chitipa DHO,January-23
AA044100,"Metronidazole 200mg, tablets","AA044100 Metronidazole 200mg, tablets",1000,50,7281.10168,364055.084,District Hospital,North,Chitipa DHO,January-23
AA054000,"Promethazine hydrochloride 25mg, coated tablets","AA054000 Promethazine hydrochloride 25mg, coated tablets",1000,5,3596.30943,17981.54715,District Hospital,North,Chitipa DHO,January-23
AA054900,"Propranolol hydrochloride 40mg, tablets","AA054900 Propranolol hydrochloride 40mg, tablets",1000,10,3537.67841,35376.7841,District Hospital,North,Chitipa DHO,January-23
AA030900,"Hydrochlorothiazide 25mg, tablets","AA030900 Hydrochlorothiazide 25mg, tablets",1000,50,6299.32927,314966.4635,District Hospital,North,Chitipa DHO,January-23
AA065400,"Zinc sulphate 20mg, Tablets","AA065400 Zinc sulphate 20mg, Tablets",100,100,788.6422,78864.22,District Hospital,North,Chitipa DHO,January-23
AA056400,Resiperidon 4mg,AA056400 Resiperidon 4mg,100 tabs,10,1409.41548,14094.1548,District Hospital,North,Chitipa DHO,January-23
BB069900,"Sodium chloride 0.9%, 1000ml","BB069900 Sodium chloride 0.9%, 1000ml",Each,800,1603.5047,1282803.76,District Hospital,North,Chitipa DHO,January-23
BB007200,"Benzylpenicillin 3g (5MU), PFR","BB007200 Benzylpenicillin 3g (5MU), PFR",Each,8000,456.05602,3648448.16,District Hospital,North,Chitipa DHO,January-23
BB006600,"Atropine sulphate 600 micrograms/ml, 1ml","BB006600 Atropine sulphate 600 micrograms/ml, 1ml",Each,50,156.13384,7806.692,District Hospital,North,Chitipa DHO,January-23
BB022200,"Dextrose (glucose) 5%, 1000ml","BB022200 Dextrose (glucose) 5%, 1000ml",Each,400,1536.58537,614634.148,District Hospital,North,Chitipa DHO,January-23
BB071700,"Sodium lactate compound (Ringer's lactate), 500ml","BB071700 Sodium lactate compound (Ringer's lactate), 500ml",Each,1000,1693.07829,1693078.29,District Hospital,North,Chitipa DHO,January-23
BB009900,"Bupivacaine spinal hyperbaric 0.5%, 4ml ampoule","BB009900 Bupivacaine spinal hyperbaric 0.5%, 4ml ampoule",Each,100,1494.25141,149425.141,District Hospital,North,Chitipa DHO,January-23
BB024000,"Diazepam 5mg/ml, 2ml","BB024000 Diazepam 5mg/ml, 2ml",Each,500,275.02639,137513.195,District Hospital,North,Chitipa DHO,January-23
BB036900,"Gentamycin Sulphate 40mg/ml, 2ml","BB036900 Gentamycin Sulphate 40mg/ml, 2ml",Each,5000,175.60976,878048.8,District Hospital,North,Chitipa DHO,January-23
BB013500,"Ceftriaxone 1g, PFR","BB013500 Ceftriaxone 1g, PFR",Each,2000,300.45607,600912.14,District Hospital,North,Chitipa DHO,January-23
BB037800,"Haloperidol 5mg/ml, 2ml","BB037800 Haloperidol 5mg/ml, 2ml",Each,100,1406.04623,140604.623,District Hospital,North,Chitipa DHO,January-23
BB004500,"Aminophylline 25mg/ml, 10ml","BB004500 Aminophylline 25mg/ml, 10ml",Each,200,482.92683,96585.366,District Hospital,North,Chitipa DHO,January-23
BB039600,"Hydralazine hydrochloride 20mg/ml, 1ml","BB039600 Hydralazine hydrochloride 20mg/ml, 1ml",Each,200,1097.56098,219512.196,District Hospital,North,Chitipa DHO,January-23
BB042600,Insulin Biphasic(Intermediate and short acting Insulin 30/70,BB042600 Insulin Biphasic(Intermediate and short acting Insulin 30/70,,200,2835.00427,567000.854,District Hospital,North,Chitipa DHO,January-23
BB042900,"Insulin soluble 100 IU/ml, 10ml","BB042900 Insulin soluble 100 IU/ml, 10ml",Each,200,3884.61366,776922.732,District Hospital,North,Chitipa DHO,January-23
BB054900,"Metronidazole 5mg/ml, 100ml","BB054900 Metronidazole 5mg/ml, 100ml",Each,500,768.29268,384146.34,District Hospital,North,Chitipa DHO,January-23
BB066900,"Promethazine hydrochloride 25mg/ml, 2ml","BB066900 Promethazine hydrochloride 25mg/ml, 2ml",Each,2000,125.13632,250272.64,District Hospital,North,Chitipa DHO,January-23
BB062700,"Pethidine hydrochloride 50mg/1ml, 2ml","BB062700 Pethidine hydrochloride 50mg/1ml, 2ml",Each,1000,908.8781,908878.1,District Hospital,North,Chitipa DHO,January-23
BB040550,"Hydrocortisone Soduim Succiante 50mg/ml, 2ml","BB040550 Hydrocortisone Soduim Succiante 50mg/ml, 2ml",Each,50,0,0,District Hospital,North,Chitipa DHO,January-23
BB038100,"Haloperidol decanoate oily 50mg/ml,  1ml","BB038100 Haloperidol decanoate oily 50mg/ml,  1ml",Each,50,2333.21634,116660.817,District Hospital,North,Chitipa DHO,January-23
BB063900,"Phytomenadione 2mg/ml, 1ml  (Vitamin K)","BB063900 Phytomenadione 2mg/ml, 1ml  (Vitamin K)",Each,50,878.04878,43902.439,District Hospital,North,Chitipa DHO,January-23
BB034200,"Fluphenazine decanoate 25mg/ml, 2ml","BB034200 Fluphenazine decanoate 25mg/ml, 2ml",Each,100,1140.34933,114034.933,District Hospital,North,Chitipa DHO,January-23
BB063000,"Phenobarbitone sodium 200mg/ml, 1ml","BB063000 Phenobarbitone sodium 200mg/ml, 1ml",Each,50,0,0,District Hospital,North,Chitipa DHO,January-23
BB044400,"Ketamine hydrochloride 50mg/ml, 10ml","BB044400 Ketamine hydrochloride 50mg/ml, 10ml",Each,100,3124.07317,312407.317,District Hospital,North,Chitipa DHO,January-23
BB067200,"Propofol 10mg/ml,10ml","BB067200 Propofol 10mg/ml,10ml",Each,50,1510.24376,75512.188,District Hospital,North,Chitipa DHO,January-23
BB072900,"Thiopentone sodium 500mg, PFR","BB072900 Thiopentone sodium 500mg, PFR",Each,100,2833.76711,283376.711,District Hospital,North,Chitipa DHO,January-23
BB077100,"Water for injections, 10ml","BB077100 Water for injections, 10ml",Each,5000,219.5122,1097561,District Hospital,North,Chitipa DHO,January-23
CC001500,"Rabies vaccine course, (1x 5, 0.5ml/dose PFR and 1x5 vials d","CC001500 Rabies vaccine course, (1x 5, 0.5ml/dose PFR and 1x5 vials d",Each,35,35913.76088,1256981.631,District Hospital,North,Chitipa DHO,January-23
EE002700,"Amoxycillin 125mg/5ml suspension, PFR to make 100ml","EE002700 Amoxycillin 125mg/5ml suspension, PFR to make 100ml",Each,500,1097.56098,548780.49,District Hospital,North,Chitipa DHO,January-23
EE034800,"Paracetamol syrup 120mg/5ml, 100ml","EE034800 Paracetamol syrup 120mg/5ml, 100ml",Each,500,834.14634,417073.17,District Hospital,North,Chitipa DHO,January-23
EE004800,"Benzyl benzoate application 25%, 500ml","EE004800 Benzyl benzoate application 25%, 500ml",Each,50,2875.69752,143784.876,District Hospital,North,Chitipa DHO,January-23
EE006300,"Betamethasone cream 0.1%, 15g","EE006300 Betamethasone cream 0.1%, 15g",Each,200,526.82927,105365.854,District Hospital,North,Chitipa DHO,January-23
EE012900,"Clotrimazole cream 1%, 20g","EE012900 Clotrimazole cream 1%, 20g",Each,200,341.65854,68331.708,District Hospital,North,Chitipa DHO,January-23
EE023400,"Hydrocortisone skin ointment 1%, 15g","EE023400 Hydrocortisone skin ointment 1%, 15g",Each,2000,702.43902,1404878.04,District Hospital,North,Chitipa DHO,January-23
EE032700,"Nystatin oral suspension 100,000 IU/ml, 20ml","EE032700 Nystatin oral suspension 100,000 IU/ml, 20ml",Each,100,1179.92707,117992.707,District Hospital,North,Chitipa DHO,January-23
EE004500,"Benzoic acid 6% + salicylic acid 3% ointment, 500g","EE004500 Benzoic acid 6% + salicylic acid 3% ointment, 500g",Each,10,4941.27756,49412.7756,District Hospital,North,Chitipa DHO,January-23
EE015000,Dexamethasone 0.1% and Neomycin 0.35% (as sulphate) eye drop,EE015000 Dexamethasone 0.1% and Neomycin 0.35% (as sulphate) eye drop,Each,300,439.02439,131707.317,District Hospital,North,Chitipa DHO,January-23
EE049200,"Timolol maleate eye drops 0.25%, 5ml","EE049200 Timolol maleate eye drops 0.25%, 5ml",Each,10,586.78354,5867.8354,District Hospital,North,Chitipa DHO,January-23
EE050100,"Tropicamide eye drops 0.5%, 5ml","EE050100 Tropicamide eye drops 0.5%, 5ml",Each,10,1536.77883,15367.7883,District Hospital,North,Chitipa DHO,January-23
EE015300,"Dexamethasone eye drops 0.1%, 5ml","EE015300 Dexamethasone eye drops 0.1%, 5ml",Each,50,329.26829,16463.4145,District Hospital,North,Chitipa DHO,January-23
EE008400,"Calamine lotion 15%+ sulphur 2%, 500ml","EE008400 Calamine lotion 15%+ sulphur 2%, 500ml",Each,150,4601.99195,690298.7925,District Hospital,North,Chitipa DHO,January-23
EE022500,Halothane (fluothane),EE022500 Halothane (fluothane),Each,5,28544.47689,142722.3845,District Hospital,North,Chitipa DHO,January-23
EE028500,"Methylated spirit (70% in Water), 5L","EE028500 Methylated spirit (70% in Water), 5L",Each,50,19402.67149,970133.5745,District Hospital,North,Chitipa DHO,January-23
EE030900,"Morphine sulphate suspension 5mg/5ml, 500ml","EE030900 Morphine sulphate suspension 5mg/5ml, 500ml",Each,40,5440,217600,District Hospital,North,Chitipa DHO,January-23
EE033900,"Oral rehydration salt, 20.5g satchet (WHO formula) for 1L so","EE033900 Oral rehydration salt, 20.5g satchet (WHO formula) for 1L so",Each,1000,262.54455,262544.55,District Hospital,North,Chitipa DHO,January-23
EE040500,"Salbutamol solution for nebulising 5mg/ml, 30ml","EE040500 Salbutamol solution for nebulising 5mg/ml, 30ml",Each,50,1781.95234,89097.617,District Hospital,North,Chitipa DHO,January-23
EE040800,"Salbutamol sulphate aerosol inhalation, 100mcg/dose, 200 dos","EE040800 Salbutamol sulphate aerosol inhalation, 100mcg/dose, 200 dos",Each,100,3336.58537,333658.537,District Hospital,North,Chitipa DHO,January-23
EE041400,"Salicylic acid 10% ointment (in YSP), 500g","EE041400 Salicylic acid 10% ointment (in YSP), 500g",Each,5,4307.9976,21539.988,District Hospital,North,Chitipa DHO,January-23
EE043200,"Salicylic acid 5% + sulphur 5% ointment (in YSP base),500g","EE043200 Salicylic acid 5% + sulphur 5% ointment (in YSP base),500g",Each,5,9878.04878,49390.2439,District Hospital,North,Chitipa DHO,January-23
EE048300,"Tetracycline eye ointment 1%, 3.5g","EE048300 Tetracycline eye ointment 1%, 3.5g",Each,120,371.48317,44577.9804,District Hospital,North,Chitipa DHO,January-23
FF007800,"Cotton wool, 500g","FF007800 Cotton wool, 500g",Each,100,7134.14634,713414.634,District Hospital,North,Chitipa DHO,January-23
FF009900,"Dressing, paraffin gauze 9.5cm x 9.5cm (square), pack of 36.","FF009900 Dressing, paraffin gauze 9.5cm x 9.5cm (square), pack of 36.",Each,50,1912.33638,95616.819,District Hospital,North,Chitipa DHO,January-23
FF006300,"Bandage, WOW 10cm x 4m long, when stretched","FF006300 Bandage, WOW 10cm x 4m long, when stretched",10,250,1072.09198,268022.995,District Hospital,North,Chitipa DHO,January-23
FF000900,"Bandage, crepe 10cm 1.4m long, when stretched","FF000900 Bandage, crepe 10cm 1.4m long, when stretched",Each,200,363.0122,72602.44,District Hospital,North,Chitipa DHO,January-23
FF010200,"Gauze, absorbent 90cm X 100m","FF010200 Gauze, absorbent 90cm X 100m",Each,100,20853.65854,2085365.854,District Hospital,North,Chitipa DHO,January-23
FF010800,"Gauze, swabs 8-ply 10cm x 10cm","FF010800 Gauze, swabs 8-ply 10cm x 10cm",100,50,2530.99768,126549.884,District Hospital,North,Chitipa DHO,January-23
FF003000,"Bandage, plaster of paris 10cm X 2.7m  long , when stretched","FF003000 Bandage, plaster of paris 10cm X 2.7m  long , when stretched",12,300,2459.55215,737865.645,District Hospital,North,Chitipa DHO,January-23
FF016200,"Plaster, zinc oxide 7.5cm x 5m long, when stretched","FF016200 Plaster, zinc oxide 7.5cm x 5m long, when stretched",Each,100,1185.36585,118536.585,District Hospital,North,Chitipa DHO,January-23
HH008100,"Bags urine drainage 2,000ml with outlet","HH008100 Bags urine drainage 2,000ml with outlet",Each,200,659.44417,131888.834,District Hospital,North,Chitipa DHO,January-23
HH012900,Cannula iv  (winged with injection pot) 16G,HH012900 Cannula iv  (winged with injection pot) 16G,Each,1000,329.26829,329268.29,District Hospital,North,Chitipa DHO,January-23
HH013200,Cannula iv  (winged with injection pot) 18G,HH013200 Cannula iv  (winged with injection pot) 18G,Each,1000,197.56098,197560.98,District Hospital,North,Chitipa DHO,January-23
HH005100,"Autoclave tape, 1cm wide, 12m long","HH005100 Autoclave tape, 1cm wide, 12m long",Roll,100,247.65029,24765.029,District Hospital,North,Chitipa DHO,January-23
HH013200,Cannula iv  (winged with injection pot) 18G,HH013200 Cannula iv  (winged with injection pot) 18G,Each,1000,197.56098,197560.98,District Hospital,North,Chitipa DHO,January-23
HH014100,Cannula iv  (winged with injection pot) 24G,HH014100 Cannula iv  (winged with injection pot) 24G,Each,1000,191.19732,191197.32,District Hospital,North,Chitipa DHO,January-23
HH027000,Catheter Foley's retention 30cc FG 14,HH027000 Catheter Foley's retention 30cc FG 14,Each,200,768.29268,153658.536,District Hospital,North,Chitipa DHO,January-23
HH027000,Catheter Foley's retention 30cc FG 14,HH027000 Catheter Foley's retention 30cc FG 14,Each,200,768.29268,153658.536,District Hospital,North,Chitipa DHO,January-23
HH077700,Glove disposable powdered latex medium,HH077700 Glove disposable powdered latex medium,100,500,8304.39128,4152195.64,District Hospital,North,Chitipa DHO,January-23
HH108000,Needle spinal disposable Luer 23g x 10cm cutting bevel/penci,HH108000 Needle spinal disposable Luer 23g x 10cm cutting bevel/penci,,1000,504.87805,504878.05,District Hospital,North,Chitipa DHO,January-23
HH081000,Glove surgeon's size 8 sterile,HH081000 Glove surgeon's size 8 sterile,Pair,2500,417.07317,1042682.925,District Hospital,North,Chitipa DHO,January-23
HH080700,Glove surgeon's size 7½ sterile,HH080700 Glove surgeon's size 7½ sterile,Pair,4000,725.60976,2902439.04,District Hospital,North,Chitipa DHO,January-23
HH104450,"Nasal Prongs, Adult","HH104450 Nasal Prongs, Adult",Each,50,92.96341,4648.1705,District Hospital,North,Chitipa DHO,January-23
HH104451,"Nasal Prongs, Paedriatric","HH104451 Nasal Prongs, Paedriatric",Each,50,92.96341,4648.1705,District Hospital,North,Chitipa DHO,January-23
HH174600,"Tube, feeding CH 6","HH174600 Tube, feeding CH 6",Each,50,263.41463,13170.7315,District Hospital,North,Chitipa DHO,January-23
HH174900,"Tube, feeding CH 8","HH174900 Tube, feeding CH 8",Each,50,163.26296,8163.148,District Hospital,North,Chitipa DHO,January-23
HH075601,IV Giving Sets 20 drops,HH075601 IV Giving Sets 20 drops,Each,2500,188.05971,470149.275,District Hospital,North,Chitipa DHO,January-23
HH124200,"Scalpel blade size 21 (individually wrapped),Carbon steel","HH124200 Scalpel blade size 21 (individually wrapped),Carbon steel",100,10,2874.28429,28742.8429,District Hospital,North,Chitipa DHO,January-23
HH149400,"Syringe, autodestruct, 2ml, disposable, hypoluer with 23g ne","HH149400 Syringe, autodestruct, 2ml, disposable, hypoluer with 23g ne",,2000,131.70732,263414.64,District Hospital,North,Chitipa DHO,January-23
HH150000,"Syringe, autodestruct, 5ml, disposable, hypoluer with 21g ne","HH150000 Syringe, autodestruct, 5ml, disposable, hypoluer with 21g ne",,4000,195.36584,781463.36,District Hospital,North,Chitipa DHO,January-23
HH148800,"Syringe, autodestruct, 10ml, disposable with 21g needle","HH148800 Syringe, autodestruct, 10ml, disposable with 21g needle",,4000,275.03463,1100138.52,District Hospital,North,Chitipa DHO,January-23
MM039650,Vacuated Plain tubes 4.5mls,MM039650 Vacuated Plain tubes 4.5mls,1000,5,0,0,District Hospital,North,Chitipa DHO,January-23
MM039600,"Bottle, Blood Collecting Vacuated, 4.5ml With Edta K3 Tubes","MM039600 Bottle, Blood Collecting Vacuated, 4.5ml With Edta K3 Tubes",100,7,0,0,District Hospital,North,Chitipa DHO,January-23
MM174000,"Multistix,10 Parameters ( Glucose, Bilirubin, Ketone, Specif","MM174000 Multistix,10 Parameters ( Glucose, Bilirubin, Ketone, Specif",,3,7345.65854,22036.97562,District Hospital,North,Chitipa DHO,January-23
MM139200,Haemocue Cleaners For Wbc Diff Analyser,MM139200 Haemocue Cleaners For Wbc Diff Analyser,5PCS,5,0,0,District Hospital,North,Chitipa DHO,January-23
MM202200,Glucosticks SD Check,MM202200 Glucosticks SD Check,50,30,12736.45057,382093.5171,District Hospital,North,Chitipa DHO,January-23
MM224600,Bool Grouping Serum Set,MM224600 Bool Grouping Serum Set,SET,10,26878.28902,268782.8902,District Hospital,North,Chitipa DHO,January-23
MM097500,"Dextrose, Citrate Blood Bag,  450ml (Cpda-1;Single; 16 Gauge","MM097500 Dextrose, Citrate Blood Bag,  450ml (Cpda-1;Single; 16 Gauge",,80,2525.11745,202009.396,District Hospital,North,Chitipa DHO,January-23
MM097800,"Dextrose, Citrate Blood Bag, 250ml (Cpda-1; Single; 16 Gauge","MM097800 Dextrose, Citrate Blood Bag, 250ml (Cpda-1; Single; 16 Gauge",,50,8648.78049,432439.0245,District Hospital,North,Chitipa DHO,January-23
NN010800,"Contrast,Barium sulphate for suspension (Oral administration","NN010800 Contrast,Barium sulphate for suspension (Oral administration",,10,0,0,District Hospital,North,Chitipa DHO,January-23
PP046500,"Lignocaine 2% Adrenaline 1/80,000 cartridge 1.8ml","PP046500 Lignocaine 2% Adrenaline 1/80,000 cartridge 1.8ml",50,20,37865.85366,757317.0732,District Hospital,North,Chitipa DHO,January-23
PP053400,"Needle, disposable dental, 27g long sharewood","PP053400 Needle, disposable dental, 27g long sharewood",100,10,351.21951,3512.1951,District Hospital,North,Chitipa DHO,January-23
AA004800,"Amoxycillin 250mg, capsules","AA004800 Amoxycillin 250mg, capsules",1000,128,31692.59133,4056651.69,Health Centres,North,Chitipa HCs,January-23
AA018600,"Cotrimoxazole 480mg, tablets","AA018600 Cotrimoxazole 480mg, tablets",1000,71,20713.4751,1470656.732,Health Centres,North,Chitipa HCs,January-23
AA022500,"Doxycycline 100mg, tablets","AA022500 Doxycycline 100mg, tablets",1000,3,30320.09444,90960.28332,Health Centres,North,Chitipa HCs,January-23
AA030900,"Hydrochlorothiazide 25mg, tablets","AA030900 Hydrochlorothiazide 25mg, tablets",1000,24,6299.32927,151183.9025,Health Centres,North,Chitipa HCs,January-23
AA021000,"Diclofenac sodium, 50mg , tablets","AA021000 Diclofenac sodium, 50mg , tablets",100,100,943.78296,94378.296,Health Centres,North,Chitipa HCs,January-23
AA040800,"Magnesium trisilicate compound 250mg, tablets","AA040800 Magnesium trisilicate compound 250mg, tablets",1000,26,6288.25921,163494.7395,Health Centres,North,Chitipa HCs,January-23
AA044100,"Metronidazole 200mg, tablets","AA044100 Metronidazole 200mg, tablets",1000,20,7281.10168,145622.0336,Health Centres,North,Chitipa HCs,January-23
AA049500,"Paracetamol 500mg, tablets","AA049500 Paracetamol 500mg, tablets",1000,130,10963.16891,1425211.958,Health Centres,North,Chitipa HCs,January-23
AA050100,"Phenobarbitone  30mg, tablets","AA050100 Phenobarbitone  30mg, tablets",1000,32,5571.23668,178279.5738,Health Centres,North,Chitipa HCs,January-23
BB003300,"Adrenaline 1/1000, 1ml","BB003300 Adrenaline 1/1000, 1ml",Each,190,167.35896,31798.2024,Health Centres,North,Chitipa HCs,January-23
BB004500,"Aminophylline 25mg/ml, 10ml","BB004500 Aminophylline 25mg/ml, 10ml",Each,50,482.92683,24146.3415,Health Centres,North,Chitipa HCs,January-23
BB006900,"Benzathine benzylpenicillin 1.44g (2.4MU), PFR","BB006900 Benzathine benzylpenicillin 1.44g (2.4MU), PFR",Each,450,0,0,Health Centres,North,Chitipa HCs,January-23
BB007200,"Benzylpenicillin 3g (5MU), PFR","BB007200 Benzylpenicillin 3g (5MU), PFR",Each,700,456.05602,319239.214,Health Centres,North,Chitipa HCs,January-23
BB013500,"Ceftriaxone 1g, PFR","BB013500 Ceftriaxone 1g, PFR",Each,550,300.45607,165250.8385,Health Centres,North,Chitipa HCs,January-23
BB022500,Dextrose 50% 500ml,BB022500 Dextrose 50% 500ml,Each,90,0,0,Health Centres,North,Chitipa HCs,January-23
BB022800,"Dextrose 50%, 50ml","BB022800 Dextrose 50%, 50ml",Each,40,1103.92685,44157.074,Health Centres,North,Chitipa HCs,January-23
BB024000,"Diazepam 5mg/ml, 2ml","BB024000 Diazepam 5mg/ml, 2ml",Each,90,275.02639,24752.3751,Health Centres,North,Chitipa HCs,January-23
BB036900,"Gentamycin Sulphate 40mg/ml, 2ml","BB036900 Gentamycin Sulphate 40mg/ml, 2ml",Each,1250,175.60976,219512.2,Health Centres,North,Chitipa HCs,January-23
BB066900,"Promethazine hydrochloride 25mg/ml, 2ml","BB066900 Promethazine hydrochloride 25mg/ml, 2ml",Each,200,125.13632,25027.264,Health Centres,North,Chitipa HCs,January-23
BB069900,"Sodium chloride 0.9%, 500ml","BB069900 Sodium chloride 0.9%, 500ml",Each,180,1603.5047,288630.846,Health Centres,North,Chitipa HCs,January-23
BB071700,"Sodium lactate compound (Ringer's lactate), 500ml","BB071700 Sodium lactate compound (Ringer's lactate), 500ml",Each,190,1693.07829,321684.8751,Health Centres,North,Chitipa HCs,January-23
